"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,9.292164,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,9.46055,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,9.255911,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,9.104682,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,9.128036,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,9.184709,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,8.89999,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,8.312415,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,8.432326,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,8.595926,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.546878,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,8.105651,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,8.024387,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,7.982447,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,7.984218,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,7.791142,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,7.894125,,
"AUS","Australia","ENT1","Share of employed who are employers","MEN","Men","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,7.967227,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.329222,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,5.734203,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,5.608345,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,5.453687,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,5.327032,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.353482,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,5.099369,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,4.971775,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,4.958927,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,4.625806,,
"AUS","Australia","ENT1","Share of employed who are employers","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,4.766609,,
