"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,14.32828,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,14.70242,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,15.16824,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,14.89276,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,14.70501,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,14.56851,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,14.20761,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,13.91898,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,13.53389,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,13.75346,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,13.79384,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,13.52847,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,12.7664,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,12.54569,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,12.81071,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,12.9083,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,12.82426,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","MEN","Men","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,12.6849,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,8.096441,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,8.250443,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,8.612517,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,8.383824,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,8.247066,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.529261,,
"AUS","Australia","ENT2","Share of employed who are own-account workers","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,8.10778,,
